dataset,candidate_id,scope,scope_trace_index,global_trace_index,boundary_case_id,estimated_change_time,estimated_change_year_week,alarm_scope_trace_index,alarm_time,support_count,total_window_sizes,support_ratio,support_windows,stability,strongest_window_size,max_jsd_score,max_score_ratio,localized_edges,localized_nodes,ground_truth_available,validation_status
BPI Challenge 2017,ALL-D001,ALL,2110,2110,Application_930773501,2016-01-29T18:31:52.614000+00:00,2016-W04,2610,2016-02-04T19:23:43.343000+00:00,1,3,0.3333,500,single-scale,500,0.0181242908,1.352495,A_Complete->O_Create Offer (-0.200); A_Complete->A_Validating (+0.187); O_Sent (mail and online)->A_Validating (-0.133); A_Pending->O_Cancelled (-0.083),O_Cancelled (-0.123),False,candidate_only
BPI Challenge 2017,ALL-D002,ALL,14720,14720,Application_1581140687,2016-07-04T19:08:24.048000+00:00,2016-W27,15220,2016-07-09T11:36:23.701000+00:00,2,3,0.6667,300;500,medium,500,0.0237804555,1.774577,O_Sent (mail and online)->O_Sent (mail and online) (-0.313); O_Created->O_Create Offer (-0.300); O_Cancelled->O_Cancelled (-0.217); O_Cancelled->__END__ (-0.183); A_Pending->__END__ (+0.160); A_Pending->O_Cancelled (-0.137); A_Complete->A_Validating (+0.137),O_Cancelled (-0.230),False,candidate_only
BPI Challenge 2017,LIMIT_RAISE-D001,Limit raise,1700,14283,Application_328690407,2016-06-30T18:04:15.036000+00:00,2016-W26,2000,2016-07-29T14:14:17.091000+00:00,2,3,0.6667,300;500,medium,300,0.020104412,1.055476,W_Validate application->__END__ (-0.290); A_Pending->W_Validate application (-0.273); A_Pending->__END__ (+0.230); A_Pending->O_Cancelled (+0.057); A_Validating->A_Incomplete (+0.053),W_Validate application (-0.263),False,candidate_only
BPI Challenge 2017,NEW_CREDIT-D001,New credit,1725,2005,Application_1807274524,2016-01-28T13:59:34.288000+00:00,2016-W04,2225,2016-02-04T13:01:26.178000+00:00,2,3,0.6667,300;500,medium,500,0.0203018927,1.404536,A_Complete->O_Create Offer (-0.277); A_Complete->A_Validating (+0.203); O_Sent (mail and online)->A_Validating (-0.193); O_Cancelled->O_Cancelled (-0.140); A_Pending->O_Cancelled (-0.123); O_Sent (mail and online)->A_Cancelled (-0.067); O_Sent (mail and online)->O_Create Offer (-0.057),O_Cancelled (-0.130),False,candidate_only
BPI Challenge 2017,NEW_CREDIT-D002,New credit,12970,14720,Application_1581140687,2016-07-04T19:08:24.048000+00:00,2016-W27,13470,2016-07-10T10:11:18.920000+00:00,2,3,0.6667,300;500,medium,500,0.023211835,1.605853,O_Sent (mail and online)->O_Sent (mail and online) (-0.327); O_Created->O_Create Offer (-0.313); O_Cancelled->O_Cancelled (-0.220); O_Cancelled->__END__ (-0.183); A_Pending->__END__ (+0.153); A_Complete->A_Validating (+0.133); A_Pending->O_Cancelled (-0.130),O_Cancelled (-0.237),False,candidate_only
