dataset,scope,n_traces,start_time,end_time,window_size,step,threshold_z,n_score_points,score_median,score_mad,threshold,n_selected_peaks,n_candidate_clusters,n_multiscale_candidates
BPI Challenge 2017,ALL,31509,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,150,10,6.0,3121,0.0146715043,0.0021645914,0.0339268435,0,2,1
BPI Challenge 2017,ALL,31509,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,300,10,6.0,3091,0.0084645512,0.0011975791,0.0191177354,1,2,1
BPI Challenge 2017,ALL,31509,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,500,10,6.0,3051,0.0059732998,0.0008349449,0.0134006357,2,2,1
BPI Challenge 2017,Limit raise,3389,2016-01-02T12:24:39.241000+00:00,2016-12-31T14:40:38.691000+00:00,150,10,6.0,309,0.0126847566,0.0023078276,0.0332142675,0,1,1
BPI Challenge 2017,Limit raise,3389,2016-01-02T12:24:39.241000+00:00,2016-12-31T14:40:38.691000+00:00,300,10,6.0,279,0.0085925702,0.0011753164,0.0190477147,1,1,1
BPI Challenge 2017,Limit raise,3389,2016-01-02T12:24:39.241000+00:00,2016-12-31T14:40:38.691000+00:00,500,10,6.0,239,0.0067493033,0.0013689362,0.0189268118,1,1,1
BPI Challenge 2017,New credit,28120,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,150,10,6.0,2783,0.0145613258,0.0019853784,0.0322224576,0,2,2
BPI Challenge 2017,New credit,28120,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,300,10,6.0,2753,0.0085789781,0.0012102465,0.0193448468,2,2,2
BPI Challenge 2017,New credit,28120,2016-01-01T09:51:15.304000+00:00,2016-12-31T21:37:53.216000+00:00,500,10,6.0,2713,0.0062502571,0.0009222836,0.0144545232,2,2,2
